Week,Class,Date,Day,Topic,Readings,Due,Resources,,,,,,,,,,,,,,,,,,,,
1,1,1/27/2023,Fri,Roadmap,[Class Syllabus](https://adv-r-programming.github.io/Adv-R-Reader/syllabus/),Update R/R Studio,Sign up for class [slack](https://sds-270-01-202303.slack.com/),,,,,,,,,,,,,,,,,,,,
2,2,1/30/2023,Mon,Intro Git,"[Bryan, J. (2018). Excuse Me, Do You Have a Moment to Talk About Version Control? American Statistician, 72(1), 20-27.](https://search.ebscohost.com/login.aspx?direct=true&AuthType=ip,sso&db=asn&AN=129302223&site=eds-live&scope=site&custid=s8897501)",Complete all [Install Guides](/Adv-R-Reader/install_guide/),[Welcome Survey](https://forms.gle/jJR59W6L2PBrbmk76),[Data Survey](https://forms.gle/LTLfzAKrfye69aT98),,,,,,,,,,,,,,,,,,,
2,3,2/1/2023,Wed,Objects in R,"[Wickham, H. (2020). 3 Vectors. In Advanced R. Chapman & Hall.](https://adv-r.hadley.nz/vectors-chap.html)",,,,,,,,,,,,,,,,,,,,,,modify to use regex Lab 8 from intro
2,4,2/3/2023,Fri,Lab 1,,,,,,,,,,,,,,,,,,,,,,,
3,5,2/6/2023,Mon,Functions,"[Wickham, H. (2020). 6 Functions. In Advanced R. Chapman & Hall.](https://adv-r.hadley.nz/functions.html)",,,,,,,,,,,,,,,,,,,,,,
3,6,2/8/2023,Wed,Debugging & Flow,"[Bryan, J., & Hester, J. (2021). Chapter 11 Debugging R code. In What They Forgot to Teach You About R.](https://rstats.wtf/debugging-r-code.html);[Grolemund, G., & Wickham, H. (2017). 8 Conditions. In R for Data Science. O'Reilly.](https://adv-r.hadley.nz/conditions.html)",Lab 1,,,,,,,,,,,,,,,,,,,,,
3,7,2/10/2023,Fri,Lab 2,,,Lab 5 from intro,,,,,,,,,,,,,,,,,,,,
4,8,2/13/2023,Mon,Iteration,"[**[21.1-21.3 Only]** Wickham, H., & Grolemund, G. (2017). 21 Iteration. In R for Data Science. O'Reilly.](https://r4ds.had.co.nz/iteration.html)",,,,,,,,,,,,,,,,,,,,,,
4,9,2/15/2023,Wed,Apply & Lists,,Lab 2,,,,,,,,,,,,,,,,,,,,,
4,10,2/17/2023,Fri,"Lab 3, **Quiz 1 Open**",,,Lab 6 from intro,,,,,,,,,,,,,,,,,,,,
5,11,2/20/2023,Mon,Web Scraping,"[Irizarry, R. A. (2022). Chapter 24 Web scraping. In Introduction to Data Science.](https://rafalab.github.io/dsbook/web-scraping.html);[Zimmer, M. (2010). But the data is already public: On the ethics of research in Facebook. Ethics and Information Technology, 12(4), 313-325.](http://www.sfu.ca/~palys/Zimmer-2010-EthicsOfResearchFromFacebook.pdf)",,,,,,,,,,,,,,,,,,,,,,
5,12,2/22/2023,Wed,RegEx,,Lab 3,https://regexlearn.com/learn/regex101,,,,,,,,,,,,,,,,,,,,
5,13,2/24/2023,Fri,Lab 4,,Quiz 1 Due,Modify lab 8,,,,,,,,,,,,,,,,,,,,
6,14,2/27/2023,Mon,Parallel,"[Jones, M. (2017). Quick Intro to Parallel Computing in R.](https://nceas.github.io/oss-lessons/parallel-computing-in-r/parallel-computing-in-r.html);[Peng, R. D. (2022). 22 Parallel Computation. In R Programming for Data Science.](https://bookdown.org/rdpeng/rprogdatascience/parallel-computation.html)",,,,,,,,,,,,,,,,,,,,,,
6,15,3/1/2023,Wed,PDF Data Extraction,[rOpenSci. (n.d.). Introduction to tabulizer.](https://docs.ropensci.org/tabulizer/articles/tabulizer.html),[rOpenSci. (n.d.). Using the Tesseract OCR engine in R.](https://docs.ropensci.org/tesseract/articles/intro.html),,Lab 4,,,,,,,,,,,,,,,,,,,
6,16,3/3/2023,Fri,"Lab 5, **Quiz 2 Open**",,,,,,,,,,,,,,,,,,,,,,,
7,17,3/6/2023,Mon,Bash,"[Irizarry, R. A. (2022). Chapter 39 Organizing with Unix. In Introduction to Data Science.](http://rafalab.dfci.harvard.edu/dsbook/unix.html)",[Recap Survey](https://forms.gle/u5Vbv8NiDiVGRY1f7),Try game again,,,,,,,,,,,,,,,,,,,,
7,18,3/8/2023,Wed,Remote Servers,"[Tanner, A. (2022, September 18). Working with remote computers.](https://alleetanner.github.io/intro-to-command-line/posts/08ssh/)",Lab 5,,,,,,,,,,,,,,,,,,,,,
7,19,3/10/2023,Fri,RECAP/MSA,,Quiz 2 Due,,,,,,,,,,,,,,,,,,,,,
8,FALSE,3/13/2023,Mon,,,,,,,,,,,,,,,,,,,,,,,,
8,FALSE,3/15/2023,Wed,,,,,,,,,,,,,,,,,,,,,,,,
8,FALSE,3/17/2023,Fri,,,,,,,,,,,,,,,,,,,,,,,,
9,20,3/20/2023,Mon,Package Creation,"[**[Skim]** Wickham, H., & Bryan, J. (2023). 2  The Whole Game. In R Packages (2nd ed.). O'Reilly.](https://r-pkgs.org/whole-game.html)",[Final Project Ideas](https://forms.gle/CaAkkPiVojM8Rc548),,,,,,,,,,,,,,,,,,,,,
9,21,3/22/2023,Wed,Project Management,[Quickstart for GitHub Issues. (n.d.). GitHub Docs.](https://docs.github.com/en/issues/tracking-your-work-with-issues/quickstart),[Final Project Interest Form](https://forms.gle/J3bRPcetTVEBJaX2A),[Managing labels. (n.d.). GitHub Docs.](https://docs.github.com/en/issues/using-labels-and-milestones-to-track-work/managing-labels),[About milestones. (n.d.). GitHub Docs.](https://docs.github.com/en/issues/using-labels-and-milestones-to-track-work/about-milestones),,,,,,,,,,,,,,,,,,,
9,22,3/24/2023,Fri,Team Formation,,[Final Project Ranking](https://forms.gle/V79qrX535CxuT1Tf6),,,,,,,,,,,,,,,,,,,,,
10,23,3/27/2023,Mon,Adv Git,"[Community, T. T. W. (2022a). Git Branches. In The Turing Way: A handbook for reproducible, ethical and collaborative research.](https://the-turing-way.netlify.app/reproducible-research/vcs/vcs-git-branches.html?highlight=git%20branches);[Community, T. T. W. (2022b). Merging Branches in Git. In The Turing Way: A handbook for reproducible, ethical and collaborative research.](https://the-turing-way.netlify.app/reproducible-research/vcs/vcs-git-merge.html);[Community, T. T. W. (2022c). Retrieving and Comparing Versions. In The Turing Way: A handbook for reproducible, ethical and collaborative research.](https://the-turing-way.netlify.app/reproducible-research/vcs/vcs-git-compare.html)",,,,,,,,,,,,,,,,,,,,,,
10,24,3/29/2023,Wed,Package Documentation,"[Wickham, H., & Bryan, J. (2023). 17 Function documentation. In R Packages (2nd ed.). O'Reilly.](https://r-pkgs.org/man.html);[Wickham, H., & Bryan, J. (2023). 19  Other markdown files. In R Packages (2nd ed.). O'Reilly.](https://r-pkgs.org/other-markdown.html)",,,,,,,,,,,,,,,,,,,,,,
10,25,3/31/2023,Fri,Lab 6,,,,,,,,,,,,,,,,,,,,,,,
11,26,4/3/2023,Mon,Adv Functions/S3,,,https://beanumber.github.io/sds270/lab-dots.html,,,,,,,,,,,,,,,,,,,,
11,27,4/5/2023,Wed,Finals Work Time 1,,Lab 6,,,,,,,,,,,,,,,,,,,,,
11,28,4/7/2023,Fri,"Lab 7, **Quiz 3 Open**",,,,,,,,,,,,,,,,,,,,,,,
12,29,4/10/2023,Mon,Testing,"[Wickham, H., & Bryan, J. (2023). 14  Testing basics. In R Packages (2nd ed.). O'Reilly.](https://r-pkgs.org/testing-basics.html);[Wickham, H., & Bryan, J. (2023). 15  Designing your test suite. In R Packages (2nd ed.). O'Reilly.](https://r-pkgs.org/testing-design.html)",,,,,,,,,,,,,,,,,,,,,,
12,30,4/12/2023,Wed,Benchmarking,"[Wickham, H. (2020). 23 Measuring performance. In Advanced R. Chapman & Hall.](https://adv-r.hadley.nz/perf-measure.html)",Lab 7,,,,,,,,,,,,,,,,,,,,,
12,31,4/14/2023,Fri,Lab 8,,Quiz 3 Due,,,,,,,,,,,,,,,,,,,,,
13,32,4/17/2023,Mon,Package Vignettes/Reprex,"[Wickham, H., & Bryan, J. (2023). 18 Vignettes. In R Packages (2nd ed.). O'Reilly.](https://r-pkgs.org/vignettes.html)",,,,,,,,,,,,,,,,,,,,,,
13,33,4/19/2023,Wed,Package Website,"[Wickham, H., & Bryan, J. (2023). 20 Website. In R Packages (2nd ed.). O'Reilly.](https://r-pkgs.org/website.html)",Lab 8,,,,,,,,,,,,,,,,,,,,,
13,34,4/21/2023,Fri,Lab 9,,,,,,,,,,,,,,,,,,,,,,,
14,35,4/24/2023,Mon,Student's Choice,,,,,,,,,,,,,,,,,,,,,,,
14,36,4/26/2023,Wed,Student's Choice,,Lab 9,,,,,,,,,,,,,,,,,,,,,
14,37,4/28/2023,Fri,"Finals Work Time 2, **Quiz 4 Open**",,Final Standards Draft,,,,,,,,,,,,,,,,,,,,,
15,38,5/1/2023,Mon,Finals Work Time 3,,,,,,,,,,,,,,,,,,,,,,,
15,39,5/3/2023,Wed,Finals Showcase,,Final Presentation,,,,,,,,,,,,,,,,,,,,,
15,FALSE,5/5/2023,Fri,,,Quiz 4 Due,,,,,,,,,,,,,,,,,,,,,
